archetype,era,cost,source
linear 1-cmt PK,pre0622,1.4753,registry
linear 1-cmt PK,pre0622,10.9832,registry
linear 1-cmt PK,pre0622,2.0435,registry
MM/nonlinear PK,pre0622,8.5316,registry
linear 2-cmt PK,pre0622,11.4569,registry
linear 2-cmt PK,pre0622,5.5981,registry
linear 1-cmt PK,pre0622,15.1182,registry
linear 3-cmt PK,pre0622,13.334,registry
linear 1-cmt PK,pre0622,6.6542,registry
linear 3-cmt PK,pre0622,14.0367,registry
linear 2-cmt PK,pre0622,10.8437,registry
linear 1-cmt PK,pre0622,5.4322,registry
linear 1-cmt PK,pre0622,5.5338,registry
linear 1-cmt PK,pre0622,2.8108,registry
linear 1-cmt PK,pre0622,10.6501,registry
linear 2-cmt PK,pre0622,7.2226,registry
linear 2-cmt PK,pre0622,11.6766,registry
linear 2-cmt PK,pre0622,9.7146,registry
linear 2-cmt PK,pre0622,12.506,registry
Emax/effect PD,pre0622,2.343,registry
Emax/effect PD,pre0622,8.5766,registry
Emax/effect PD,pre0622,1.8301,registry
Emax/effect PD,pre0622,0.8198,registry
linear 2-cmt PK,pre0622,11.6662,registry
linear 1-cmt PK,pre0622,13.6716,registry
linear 3-cmt PK,pre0622,14.7119,registry
linear 3-cmt PK,pre0622,16.1615,registry
linear 1-cmt PK,pre0622,10.4315,registry
linear 1-cmt PK,pre0622,11.5754,registry
MM/nonlinear PK,pre0622,12.2576,registry
Emax/effect PD,pre0622,12.7772,registry
indirect-response PD,pre0622,41.8656,registry
linear 2-cmt PK,pre0622,7.9016,registry
linear 2-cmt PK,pre0622,14.7016,registry
linear 2-cmt PK,pre0622,16.0245,registry
Emax/effect PD,pre0622,19.9971,registry
linear 2-cmt PK,pre0622,13.1501,registry
MM/nonlinear PK,pre0622,8.9488,registry
linear 1-cmt PK,pre0622,8.2339,registry
linear 2-cmt PK,pre0622,14.5182,registry
Emax/effect PD,pre0622,8.2613,registry
Emax/effect PD,pre0622,12.9549,registry
linear 1-cmt PK,pre0622,16.5416,registry
linear 2-cmt PK,pre0622,8.0007,registry
TMDD,pre0622,7.937,registry
TMDD,pre0622,1.7361,registry
TMDD,pre0622,0.8917,registry
linear 2-cmt PK,pre0622,7.9016,registry
linear 2-cmt PK,pre0622,14.7016,registry
linear 2-cmt PK,pre0622,12.4779,registry
Emax/effect PD,pre0622,14.5936,registry
linear 2-cmt PK,pre0622,10.4666,registry
linear 1-cmt PK,pre0622,7.6244,registry
linear 1-cmt PK,pre0622,6.8548,registry
linear 1-cmt PK,pre0622,12.6315,registry
linear 2-cmt PK,pre0622,8.5826,registry
TTE/survival,pre0622,7.9061,registry
linear 2-cmt PK,pre0622,11.9826,registry
linear 3-cmt PK,pre0622,2.2908,registry
linear 3-cmt PK,pre0622,1.1792,registry
linear 2-cmt PK,pre0622,7.6008,registry
linear 2-cmt PK,pre0622,15.7027,registry
linear 2-cmt PK,pre0622,6.5316,registry
linear 2-cmt PK,pre0622,10.3032,registry
linear 2-cmt PK,pre0622,7.9529,registry
linear 1-cmt PK,pre0622,6.1075,registry
linear 1-cmt PK,pre0622,1.7788,registry
linear 1-cmt PK,pre0622,11.0417,registry
indirect-response PD,pre0622,17.7864,registry
indirect-response PD,pre0622,1.5029,registry
indirect-response PD,pre0622,5.8033,registry
